page_title,date,page_views,internal_links_count,revisions_count,page_size,time_since_creation
"""Terry McMillan""",20231005,205,701,447,13163,7390
"""Wallace Gustafson""",20230201,2,10,18,1680,2185
"""Barbara Pope""",20231229,1,3,3,285,5396
"""Articulationes cinguli membri""",20231223,1,2,4,158,3556
"""Ellos nos hicieron así""",20231223,5,48,24,1856,6462
"""Ashke""",20230421,54,34,250,14590,2367
"""1941 theatre strike in Norway""",20230927,3,45,30,11021,4258
"""Heinz Meier (actor)""",20230312,5,35,50,4088,2041
"""Naoya Tomita""",20230928,7,57,36,2982,4541
"""Trapeliopsis steppica""",20230702,1,43,6,3163,1169
"""Diamanten Kogel""",20231223,2,17,12,1153,5267
"""North of Nevada""",20230630,8,120,23,3168,2064
"""Battle of Campo Jordán""",20230506,5,22,23,1292,5243
"""Rachel Roberts (model)""",20230122,131,157,347,6843,6964
"""Falk""",20230129,5,8,33,482,6301
"""Kwasi Baffoe-Bonnie""",20230428,37,18,51,6817,1381
"""Francesco Antonio Arena""",20231225,6,60,25,11036,1182
"""40th meridian east""",20230424,54,161,32,4967,5966
"""Emre Şahin""",20230524,23,27,84,3249,6743
"""Villa Levi, Coviolo""",20230922,3,10,14,2040,701
"""Monte Sant'Angelo Mercy College""",20231230,15,258,361,12489,7041
"""Snodland railway station""",20230818,10,161,97,5740,7148
"""Brotulotaenia crassa""",20230207,2,28,5,585,1276
"""Penn Branch""",20230325,7,149,55,4142,6491
"""Song Duk-ho""",20230831,81,33,30,11531,811
"""Cyclostrema charmophron""",20230111,2,25,14,1073,4363
"""Belfast (disambiguation)""",20230511,29,41,116,2919,7350
"""Richard Farnworth""",20230327,8,16,30,3611,5015
"""Seilala Mapusua""",20230624,7,173,153,9179,6771
"""Albion Hills Conservation Area""",20231011,8,479,44,9286,3717
"""John B. Lis""",20230518,1,7,9,2036,1674
"""Karanga""",20231226,13,8,37,556,7233
"""Belladonna (2015 film)""",20230604,3,8,15,3022,3091
"""Dereoba, Çan""",20230828,5,77,6,1103,1395
"""Ilex mitis""",20230427,23,60,59,6425,5145
"""Robert Sénéchal""",20230704,4,28,32,9228,1724
"""Josef Popper-Lynkeus""",20230122,16,54,118,13640,5780
